장르,노래제목,가수
트로트,오래된 노래,임영웅
트로트,그댈 만나러 갑니다,이찬원
트로트,남자의 다짐,이찬원
트로트,누나가 딱이야,영탁
포크/블루스,그라데이션,10CM
포크/블루스,Love story,볼빨간사춘기
포크/블루스,사랑해 진짜,임영웅
포크/블루스,연애편지,임영웅
포크/블루스,Seoul,볼빨간사춘기
포크/블루스,오래된 노래,스탠딩 에그
포크/블루스,Happy Song,멜로망스
포크/블루스,나의 사춘기에게,볼빨간사춘기
포크/블루스,폰서트,10CM
포크/블루스,우주를 줄게,볼빨간사춘기
포크/블루스,스토커,10CM
포크/블루스,"나만, 봄",볼빨간사춘기
포크/블루스,좋다고 말해,볼빨간사춘기
포크/블루스,썸 탈꺼야,볼빨간사춘기
포크/블루스,Oh Friday (루디고 GO X 송예빈),송예빈
포크/블루스,Whisky on the Rock,김연지
포크/블루스,별 보러 갈래?,볼빨간사춘기
포크/블루스,나만 안되는 연애,볼빨간사춘기
포크/블루스,200%,AKMU (악뮤)
포크/블루스,오랜 날 오랜 밤,AKMU (악뮤)
포크/블루스,여름비,샘김 (Sam Kim)
포크/블루스,남이 될 수 있을까,볼빨간사춘기
포크/블루스,나비와 고양이 (feat.백현 (BAEKHYUN)),볼빨간사춘기
포크/블루스,봄이 좋냐??,10CM
포크/블루스,사랑은 은하수 다방에서,10CM
포크/블루스,사라진 모든 것들에게(with ELLE KOREA),코드 쿤스트 (CODE KUNST)
포크/블루스,니가 보고싶은 밤,윤딴딴
포크/블루스,심술,볼빨간사춘기
포크/블루스,가을 타나 봐,이무진
포크/블루스,가을 아침,아이유
포크/블루스,애상,10CM
포크/블루스,Give Love,AKMU (악뮤)
포크/블루스,마음,아이유
포크/블루스,STAY,BLACKPINK
포크/블루스,Blue,볼빨간사춘기
포크/블루스,오늘,오왠 (O.WHEN)
포크/블루스,pet,10CM
포크/블루스,김철수 씨 이야기,허회경
포크/블루스,IF YOU,BIGBANG (빅뱅)
포크/블루스,Little Star,스탠딩 에그
포크/블루스,정거장,아이유
포크/블루스,You(=I),볼빨간사춘기
포크/블루스,#첫사랑,볼빨간사춘기
포크/블루스,Star,STAYC(스테이씨)
포크/블루스,널 생각해,원 모어 찬스 (one more chance)
포크/블루스,Gone,로제 (ROSÉ)
포크/블루스,매트리스,10CM
포크/블루스,너,아이유
포크/블루스,일종의 고백 (Male Ver.),곽진언
포크/블루스,여름밤에 우린,스탠딩 에그
발라드,그때 그 순간 그대로 (그그그),WSG워너비 (가야G)
발라드,사랑인가 봐,멜로망스
발라드,나의 X에게,경서
발라드,취중고백,김민석 (멜로망스)
발라드,사랑은 늘 도망가,임영웅
발라드,내가 아니라도,주호
발라드,우리들의 블루스,임영웅
발라드,다정히 내 이름을 부르면,경서예지
발라드,늦은 밤 헤어지긴 너무 아쉬워,케이시 (Kassy)
발라드,듣고 싶을까,MSG워너비(M.O.M)
발라드,너의 모든 순간,성시경
발라드,다시 만날 수 있을까,임영웅
발라드,고백하는 취한밤에 (Prod. 2soo),임재현
발라드,바보에게 바보가 (웹툰 '연애의 발견' X 이석훈),이석훈
발라드,팡파레,다비치
발라드,드라마,아이유
발라드,언제나 사랑해,케이시 (Kassy)
발라드,해요 (2022),#안녕
발라드,내 손을 잡아,아이유
발라드,바라만 본다,MSG워너비(M.O.M)
발라드,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴
발라드,밤하늘의 별을(2020),경서
발라드,눈이 오잖아(Feat.헤이즈),이무진
발라드,미친 것처럼,V.O.S
발라드,호랑수월가,탑현
발라드,고백,멜로망스
발라드,그 하루(feat.반하나),주호
발라드,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤)
발라드,아버지,임영웅
발라드,With you,지민
발라드,인생찬가,임영웅
발라드,사랑인걸,한동근
발라드,I LUV U (with 미란이),김종국
발라드,서랍,10CM
발라드,이러면 안 될 거 아는데 너 앞에만 서면 나락 (Feat. 10CM),딘딘 (DINDIN)
발라드,추억은 만남보다 이별에 남아,정동하
발라드,초대,멜로망스
발라드,"너, 너 (N번째 연애 X 휘인 (Whee In))",휘인 (Whee In)
발라드,취기를 빌려 (취향저격 그녀 X 산들),산들
발라드,어제처럼,폴킴
발라드,시든 꽃에 물을 주듯,HYNN (박혜원)
발라드,선물,멜로망스
발라드,너의 번호를 누르고 (Prod. 영화처럼),#안녕
발라드,마지막 너의 인사,헤이즈 (Heize)
발라드,YOU AND I,WSG워너비 조별경연 (대청봉)
발라드,비가 오는 날엔 (2021),헤이즈 (Heize)
발라드,밤편지,아이유
발라드,링크,멜로망스
발라드,사랑의 인사,씨야
발라드,늦은 밤 너의 집 앞 골목길에서,노을
댄스,LOVE DIVE,IVE (아이브)
댄스,POP!,나연 (TWICE)
댄스,That That (prod. & feat. SUGA of BTS),싸이 (PSY)
댄스,Clink Clink (클링 클링),WSG워너비 (오아시소)
댄스,Girls,aespa
댄스,FEARLESS,LE SSERAFIM (르세라핌)
댄스,Feel My Rhythm,Red Velvet (레드벨벳)
댄스,ELEVEN,IVE (아이브)
댄스,INVU,태연 (TAEYEON)
댄스,Next Level,aespa
댄스,Dynamite,방탄소년단
댄스,I LOVE U,WINNER
댄스,Weekend,태연 (TAEYEON)
댄스,SMILEY (Feat. BIBI),YENA (최예나)
댄스,Butter,방탄소년단
댄스,Permission to Dance,방탄소년단
댄스,열이올라요 (Heart Burn),선미
댄스,도깨비불 (Illusion),aespa
댄스,롤린 (Rollin'),브레이브걸스
댄스,라일락,아이유
댄스,Celebrity,아이유
댄스,Savage,aespa
댄스,Sparkling,청하
댄스,Life′s Too Short (English Ver.),aespa
댄스,Dun Dun Dance,오마이걸 (OH MY GIRL)
댄스,RUN2U,STAYC(스테이씨)
댄스,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단
댄스,Beatbox,NCT DREAM
댄스,Step Back,GOT the beat
댄스,Darl+ing,세븐틴
댄스,Stay This Way,프로미스나인
댄스,Celeb,싸이 (PSY)
댄스,Dreams Come True,aespa
댄스,어마어마해,WSG워너비
댄스,러브 쉿!,조유리
댄스,나는 트로트가 싫어요,임창정
댄스,Lovesick Girls,BLACKPINK
댄스,다시 여기 바닷가,"싹쓰리 (유두래곤, 린다G, 비룡)"
댄스,Dolphin,오마이걸 (OH MY GIRL)
댄스,DM,프로미스나인
댄스,Real Love,오마이걸 (OH MY GIRL)
댄스,ASAP,STAYC(스테이씨)
댄스,버퍼링 (Glitch Mode),NCT DREAM
댄스,Dance The Night Away,TWICE (트와이스)
댄스,Queendom,Red Velvet (레드벨벳)
댄스,비행기,거북이
댄스,상상더하기,라붐 (LABOUM)
댄스,Alcohol-Free,TWICE (트와이스)
댄스,REALLY REALLY,WINNER
댄스,Copycat,Apink 초봄 (에이핑크 초봄)
랩/힙합,LOVE me,BE'O (비오)
랩/힙합,Yet To Come,방탄소년단
랩/힙합,MY BAG,(여자)아이들
랩/힙합,ZOOM,제시 (Jessi)
랩/힙합,"회전목마 (Feat. Zion.T, 원슈타인) (Prod. Slom)",sokodomo
랩/힙합,리무진 (Feat. MINO) (Prod. GRAY),BE'O (비오)
랩/힙합,OHAYO MY NIGHT,디핵 (D-Hack)
랩/힙합,HOT,세븐틴
랩/힙합,봄날,방탄소년단
랩/힙합,"사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)",호미들
랩/힙합,문득,BE'O (비오)
랩/힙합,Counting Stars (Feat. Beenzino),BE'O (비오)
랩/힙합,A bientot,임영웅
랩/힙합,Born Singer,방탄소년단
랩/힙합,엉덩이가 큰 그녀 (Feat. The Quiett),릴러말즈 (Leellamarz)
랩/힙합,만남은 쉽고 이별은 어려워 (Feat. Leellamarz) (Prod. TOIL),베이식 (Basick)
랩/힙합,존재만으로,원슈타인
랩/힙합,"Rainy day (Feat. ASH ISLAND, Skinny Brown)",PATEKO (파테코)
랩/힙합,달려라 방탄,방탄소년단
랩/힙합,Alone (Feat. 이하이),쿠기 (Coogie)
랩/힙합,METEOR,창모 (CHANGMO)
랩/힙합,MORE,j-hope
랩/힙합,어땠을까 (Feat. 박정현),싸이 (PSY)
랩/힙합,멜로디,ASH ISLAND
랩/힙합,하지마,릴러말즈 (Leellamarz)
랩/힙합,Summer (Feat. BE’O (비오)),Paul Blanco
랩/힙합,감동이야 (feat. 성시경),싸이 (PSY)
랩/힙합,어떻게 지내 (Prod. By VAN.C),오반
랩/힙합,네가 없는 밤 (Feat. ASH ISLAND) (Prod. GRAY),BE'O (비오)
랩/힙합,비 오는 날 듣기 좋은 노래 (Feat. Colde),에픽하이 (EPIK HIGH)
랩/힙합,예술이야,싸이 (PSY)
랩/힙합,Trip (Feat. Hannah),릴러말즈 (Leellamarz)
랩/힙합,시차 (We Are) (Feat. 로꼬 & GRAY),우원재
랩/힙합,한여름밤의 꿀,San E
랩/힙합,Wake Up (Prod. 코드 쿤스트),개코
랩/힙합,우산 (Feat. 윤하),에픽하이 (EPIK HIGH)
랩/힙합,GONE (Feat. Paloalto) (Prod. TOIL),릴러말즈 (Leellamarz)
랩/힙합,last day,Royal 44
랩/힙합,VVS (Feat. JUSTHIS) (Prod. GroovyRoom),미란이 (Mirani)
랩/힙합,쉬어 (Feat. MINO) (Prod. GRAY),아넌딜라이트(Anandelight)
랩/힙합,"검정색하트 (Feat. Leellamarz, BE'O)",TOIL
랩/힙합,Life Goes On,방탄소년단
랩/힙합,뜨거운 안녕 (Feat. 성시경),싸이 (PSY)
랩/힙합,거짓말,BIGBANG (빅뱅)
랩/힙합,아무노래,지코 (ZICO)
랩/힙합,불협화음 (Feat. AKMU) (Prod. GRAY),Mudd the student
랩/힙합,Joker (Feat. JAMIE),BIG Naughty (서동현)
랩/힙합,우연히 봄,로꼬
랩/힙합,"And July (Feat. DEAN, DJ Friz)",헤이즈 (Heize)
랩/힙합,뚜두뚜두 (DDU-DU DDU-DU),BLACKPINK
R&B/Soul,보고싶었어,WSG워너비 (4FIRE)
R&B/Soul,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현)
R&B/Soul,아무래도 난,주시크 (Joosiq)
R&B/Soul,GANADARA (Feat. 아이유),박재범
R&B/Soul,너를 생각해,주시크 (Joosiq)
R&B/Soul,없었던 일로,헤이즈 (Heize)
R&B/Soul,"낭만교향곡 (Feat. CHANGMO, 박재범)",BIG Naughty (서동현)
R&B/Soul,찰나가 영원이 될 때 (The Eternal Moment),마크툽 (MAKTUB)
R&B/Soul,헤픈 우연,헤이즈 (Heize)
R&B/Soul,Need To Know,박재범
R&B/Soul,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (MAKTUB)
R&B/Soul,비도 오고 그래서 (Feat. 신용재),헤이즈 (Heize)
R&B/Soul,For Youth,방탄소년단
R&B/Soul,Vancouver,BIG Naughty (서동현)
R&B/Soul,밝게 빛나는 별이 되어 비춰줄게,송이한
R&B/Soul,"All I Wanna Do (K) (Feat. Hoody, Loco)",박재범
R&B/Soul,바다 가자,로지(ROZY)
R&B/Soul,비,폴킴
R&B/Soul,Square (2017),백예린 (Yerin Baek)
R&B/Soul,One More Time,폴킴
R&B/Soul,비 오는 날 듣기 좋은 노래,윤하 (YOUNHA)
R&B/Soul,I Don′t Lie (Feat. 기리보이),헤이즈 (Heize)
R&B/Soul,북극성 (Never Goodbye),NCT DREAM
R&B/Soul,ONCE AGAIN,윈터 (WINTER)
R&B/Soul,D (half moon) (Feat. 개코),DEAN
R&B/Soul,미안해,양다일
R&B/Soul,RIDE (Feat. THAMA),SOLE (쏠)
R&B/Soul,어쩌면 우리 (Feat. 죠지),헤이즈 (Heize)
R&B/Soul,Bye bye my blue,백예린 (Yerin Baek)
R&B/Soul,도둑놈 (Feat. 민니 of (여자)아이들),헤이즈 (Heize)
R&B/Soul,팔레트 (Feat. G-DRAGON),아이유
R&B/Soul,내사람,SG 워너비
R&B/Soul,그건 아마 우리의 잘못은 아닐 거야,백예린 (Yerin Baek)
R&B/Soul,거리마다 (Feat. I.M of 몬스타엑스),헤이즈 (Heize)
R&B/Soul,...사랑했잖아...,린
R&B/Soul,Break Away,WSG워너비 조별경연 (할미봉)
R&B/Soul,Lovey Dovey (Feat. meenoi),BIG Naughty (서동현)
R&B/Soul,바람기억,나얼
R&B/Soul,삐삐,아이유
R&B/Soul,instagram,DEAN
R&B/Soul,도망가자 (Run With Me),선우정아
R&B/Soul,PADO,비비 (BIBI)
R&B/Soul,"하나,둘 (Feat. 펀치 (Punch))",김승민
R&B/Soul,마지막 인사 (To My First),NCT DREAM
R&B/Soul,한숨,이하이
R&B/Soul,꽃 길,BIGBANG (빅뱅)
R&B/Soul,"무제(無題) (Untitled, 2014)",G-DRAGON
R&B/Soul,Coin,아이유
R&B/Soul,Polaroid Love,ENHYPEN
R&B/Soul,Take Me (with 11키티즈),코드 쿤스트 (CODE KUNST)
